timestamp,x,y,z_raw,z_filtered,proj_t,phase_state,height_state
1.77012e+09,0.162545,6.49698,-0.391352,0,0,0,1
1.77012e+09,0.131557,6.40985,-0.389163,0,0,0,1
1.77012e+09,0.106956,6.47703,-0.393596,0,0,0,1
1.77012e+09,0.0798087,6.42394,-0.393902,0,0,0,1
1.77012e+09,0.0494395,6.47942,-0.397569,0,0,0,1
1.77012e+09,0.0201771,6.52422,-0.402394,0,0,0,1
1.77012e+09,-0.0109274,6.45475,-0.401492,0,0,0,1
1.77012e+09,-0.0395773,6.38965,-0.400949,0,0,0,1
1.77012e+09,-0.0696541,6.4921,-0.408747,0,0,0,1
1.77012e+09,-0.0976144,6.46133,-0.408947,0,0,0,1
1.77012e+09,-0.121458,6.40705,-0.409483,0,0,0,1
1.77012e+09,-0.147347,6.4735,-0.414788,-0.409483,0,0,1
1.77012e+09,-0.173024,6.59444,-0.423037,-0.412136,0,0,1
1.77012e+09,-0.195494,6.65171,-0.42823,-0.41577,0,0,1
1.77012e+09,-0.214521,6.75191,-0.436455,-0.418885,0,0,1
1.77012e+09,-0.229786,6.67199,-0.434205,-0.422399,0,0,1
1.77012e+09,0.271101,6.5375,-0.283489,-0.427343,0,0,1
1.77012e+09,0.263833,6.76427,-0.290258,-0.401083,0,0,1
1.77012e+09,0.234621,6.44795,-0.283038,-0.374527,0,0,1
1.77012e+09,0.204089,6.21637,-0.27605,-0.345489,0,0,1
1.77012e+09,0.195382,6.62141,-0.289012,-0.313408,0,0,1
1.77012e+09,0.160225,6.27098,-0.279391,-0.284369,0,0,1
1.77012e+09,0.137199,6.46638,-0.286305,-0.28355,0,0,1
1.77012e+09,0.113838,6.52629,-0.289012,-0.282759,0,0,1
1.77012e+09,0.088227,6.63017,-0.294182,-0.283954,0,0,1
1.77012e+09,0.0577463,6.6794,-0.296688,-0.287581,0,0,1
1.77012e+09,0.0266577,6.61984,-0.297704,-0.289116,0,0,1
1.77012e+09,-0.00518969,6.50036,-0.296818,-0.292778,0,0,1
1.77012e+09,-0.0357176,6.59637,-0.302097,-0.294881,0,0,1
1.77012e+09,-0.062733,6.4847,-0.300358,-0.297498,0,0,1
1.77012e+09,-0.088826,6.45197,-0.302914,-0.298733,0,0,1
1.77012e+09,-0.114916,6.46398,-0.305182,-0.299978,0,0,1
1.77012e+09,-0.143457,6.64769,-0.313811,-0.301474,0,0,1
1.77012e+09,-0.168161,6.67827,-0.31742,-0.304872,0,0,1
1.77012e+09,-0.190163,6.62514,-0.319112,-0.307937,0,0,1
1.77012e+09,-0.205487,6.53309,-0.318615,-0.311688,0,0,1
1.77012e+09,-0.262825,6.73493,-0.325623,-0.314828,0,0,1
1.77012e+09,-0.293978,6.65587,-0.326383,-0.318916,0,0,1
1.77012e+09,0.210601,6.55093,-0.488061,-0.321431,0,0,1
1.77012e+09,0.194795,6.6613,-0.49261,-0.355559,0,0,1
1.77012e+09,0.160589,6.27039,-0.470375,-0.390258,0.194795,0,1
1.77012e+09,0.140763,6.3715,-0.475751,-0.42061,0.194795,0,1
